date,ripple,isPartial
2016-01-25,93.11475409836066,False
2016-01-26,76.06557377049181,False
2016-01-27,83.9344262295082,False
2016-01-28,85.24590163934427,False
2016-01-29,86.55737704918033,False
2016-01-30,74.75409836065575,False
2016-01-31,81.31147540983608,False
2016-02-01,89.18032786885247,False
2016-02-02,83.9344262295082,False
2016-02-03,82.62295081967214,False
2016-02-04,108.85245901639345,False
2016-02-05,83.9344262295082,False
2016-02-06,100.98360655737706,False
2016-02-07,70.81967213114754,False
2016-02-08,86.55737704918033,False
2016-02-09,74.75409836065575,False
2016-02-10,86.55737704918033,False
2016-02-11,115.40983606557378,False
2016-02-12,103.60655737704919,False
2016-02-13,103.60655737704919,False
2016-02-14,94.42622950819673,False
2016-02-15,102.29508196721312,False
2016-02-16,98.36065573770493,False
2016-02-17,98.36065573770493,False
2016-02-18,72.13114754098362,False
2016-02-19,62.95081967213115,False
2016-02-20,104.91803278688525,False
2016-02-21,76.06557377049181,False
2016-02-22,86.55737704918033,False
2016-02-23,73.44262295081968,False
2016-02-24,110.16393442622952,False
2016-02-25,93.11475409836066,False
2016-02-26,86.55737704918033,False
2016-02-27,95.73770491803279,False
2016-02-28,83.9344262295082,False
2016-02-29,82.62295081967214,False
2016-03-01,131.14754098360658,False
2016-03-02,103.60655737704919,False
2016-03-03,70.81967213114754,False
2016-03-04,106.22950819672133,False
2016-03-05,110.16393442622952,False
2016-03-06,90.49180327868854,False
2016-03-07,78.68852459016394,False
2016-03-08,73.44262295081968,False
2016-03-09,85.24590163934427,False
2016-03-10,94.42622950819673,False
2016-03-11,91.8032786885246,False
2016-03-12,115.40983606557378,False
2016-03-13,69.50819672131148,False
2016-03-14,72.13114754098362,False
2016-03-15,86.55737704918033,False
2016-03-16,85.24590163934427,False
2016-03-17,85.24590163934427,False
2016-03-18,83.9344262295082,False
2016-03-19,70.81967213114754,False
2016-03-20,74.75409836065575,False
2016-03-21,55.08196721311476,False
2016-03-22,82.62295081967214,False
2016-03-23,93.11475409836066,False
2016-03-24,83.9344262295082,False
2016-03-25,66.88524590163935,False
2016-03-26,77.37704918032787,False
2016-03-27,64.26229508196722,False
2016-03-28,74.75409836065575,False
2016-03-29,74.75409836065575,False
2016-03-30,85.24590163934427,False
2016-03-31,102.29508196721312,False
2016-04-01,72.13114754098362,False
2016-04-02,93.11475409836066,False
2016-04-03,64.26229508196722,False
2016-04-04,73.44262295081968,False
2016-04-05,97.04918032786887,False
2016-04-06,82.62295081967214,False
2016-04-07,81.31147540983608,False
2016-04-08,98.36065573770493,False
2016-04-09,104.91803278688525,False
2016-04-10,83.9344262295082,False
2016-04-11,65.57377049180329,False
2016-04-12,82.62295081967214,False
2016-04-13,83.9344262295082,False
2016-04-14,60.32786885245902,False
2016-04-15,106.22950819672133,False
2016-04-16,60.32786885245902,False
2016-04-17,55.08196721311476,False
2016-04-18,97.04918032786887,False
2016-04-19,95.73770491803279,False
2016-04-20,90.49180327868854,False
2016-04-21,68.19672131147541,False
2016-04-22,110.16393442622952,False
2016-04-23,97.04918032786887,False
2016-04-24,83.9344262295082,False
2016-04-25,98.36065573770493,False
2016-04-26,86.55737704918033,False
2016-04-27,93.11475409836066,False
2016-04-28,78.68852459016394,False
2016-04-29,106.22950819672133,False
2016-04-30,77.37704918032787,False
2016-05-01,85.24590163934427,False
2016-05-02,82.62295081967214,False
2016-05-03,73.44262295081968,False
2016-05-04,83.9344262295082,False
2016-05-05,90.49180327868854,False
2016-05-06,76.06557377049181,False
2016-05-07,74.75409836065575,False
2016-05-08,77.37704918032787,False
2016-05-09,76.06557377049181,False
2016-05-10,110.16393442622952,False
2016-05-11,73.44262295081968,False
2016-05-12,97.04918032786887,False
2016-05-13,86.55737704918033,False
2016-05-14,89.18032786885247,False
2016-05-15,87.8688524590164,False
2016-05-16,89.18032786885247,False
2016-05-17,56.39344262295082,False
2016-05-18,80.00000000000001,False
2016-05-19,80.00000000000001,False
2016-05-20,99.672131147541,False
2016-05-21,94.42622950819673,False
2016-05-22,91.8032786885246,False
2016-05-23,86.55737704918033,False
2016-05-24,72.13114754098362,False
2016-05-25,90.49180327868854,False
2016-05-26,80.00000000000001,False
2016-05-27,93.11475409836066,False
2016-05-28,73.44262295081968,False
2016-05-29,89.18032786885247,False
2016-05-30,91.8032786885246,False
2016-05-31,77.37704918032787,False
2016-06-01,68.19672131147541,False
2016-06-02,100.98360655737706,False
2016-06-03,81.31147540983608,False
2016-06-04,89.18032786885247,False
2016-06-05,95.73770491803279,False
2016-06-06,78.68852459016394,False
2016-06-07,77.37704918032787,False
2016-06-08,103.60655737704919,False
2016-06-09,91.8032786885246,False
2016-06-10,78.68852459016394,False
2016-06-11,80.00000000000001,False
2016-06-12,81.31147540983608,False
2016-06-13,108.85245901639345,False
2016-06-14,86.55737704918033,False
2016-06-15,74.75409836065575,False
2016-06-16,60.32786885245902,False
2016-06-17,99.672131147541,False
2016-06-18,102.29508196721312,False
2016-06-19,56.39344262295082,False
2016-06-20,83.9344262295082,False
2016-06-21,106.22950819672133,False
2016-06-22,90.49180327868854,False
2016-06-23,107.54098360655739,False
2016-06-24,93.11475409836066,False
2016-06-25,106.22950819672133,False
2016-06-26,93.11475409836066,False
2016-06-27,95.73770491803279,False
2016-06-28,94.42622950819673,False
2016-06-29,78.68852459016394,False
2016-06-30,87.8688524590164,False
2016-07-01,69.50819672131148,False
2016-07-02,94.42622950819673,False
2016-07-03,68.19672131147541,False
2016-07-04,89.18032786885247,False
2016-07-05,83.9344262295082,False
2016-07-06,72.13114754098362,False
2016-07-07,90.49180327868854,False
2016-07-08,97.04918032786887,False
2016-07-09,65.57377049180329,False
2016-07-10,72.13114754098362,False
2016-07-11,74.75409836065575,False
2016-07-12,107.54098360655739,False
2016-07-13,69.50819672131148,False
2016-07-14,85.24590163934427,False
2016-07-15,74.75409836065575,False
2016-07-16,108.85245901639345,False
2016-07-17,95.73770491803279,False
2016-07-18,100.98360655737706,False
2016-07-19,97.92349726775957,False
2016-07-20,84.15300546448088,False
2016-07-21,84.15300546448088,False
2016-07-22,79.56284153005465,False
2016-07-23,79.56284153005465,False
2016-07-24,64.26229508196722,False
2016-07-25,76.50273224043717,False
2016-07-26,113.224043715847,False
2016-07-27,67.32240437158471,False
2016-07-28,90.27322404371586,False
2016-07-29,65.79234972677597,False
2016-07-30,88.74316939890711,False
2016-07-31,88.74316939890711,False
2016-08-01,82.62295081967214,False
2016-08-02,76.50273224043717,False
2016-08-03,105.57377049180329,False
2016-08-04,84.15300546448088,False
2016-08-05,87.21311475409837,False
2016-08-06,84.15300546448088,False
2016-08-07,47.43169398907104,False
2016-08-08,70.3825136612022,False
2016-08-09,55.08196721311476,False
2016-08-10,76.50273224043717,False
2016-08-11,84.15300546448088,False
2016-08-12,61.20218579234973,False
2016-08-13,70.3825136612022,False
2016-08-14,73.44262295081968,False
2016-08-15,64.26229508196722,False
2016-08-16,81.0928961748634,False
2016-08-17,78.03278688524591,False
2016-08-18,107.10382513661203,False
2016-08-19,93.33333333333334,False
2016-08-20,53.551912568306015,False
2016-08-21,102.5136612021858,False
2016-08-22,102.5136612021858,False
2016-08-23,84.15300546448088,False
2016-08-24,93.33333333333334,False
2016-08-25,67.32240437158471,False
2016-08-26,111.69398907103826,False
2016-08-27,93.33333333333334,False
2016-08-28,79.56284153005465,False
2016-08-29,70.3825136612022,False
2016-08-30,58.142076502732245,False
2016-08-31,99.45355191256832,False
2016-09-01,85.68306010928963,False
2016-09-02,88.74316939890711,False
2016-09-03,107.10382513661203,False
2016-09-04,81.0928961748634,False
2016-09-05,90.27322404371586,False
2016-09-06,79.56284153005465,False
2016-09-07,91.8032786885246,False
2016-09-08,82.62295081967214,False
2016-09-09,68.85245901639345,False
2016-09-10,84.15300546448088,False
2016-09-11,88.74316939890711,False
2016-09-12,79.56284153005465,False
2016-09-13,126.99453551912569,False
2016-09-14,134.64480874316942,False
2016-09-15,105.57377049180329,False
2016-09-16,153.00546448087434,False
2016-09-17,85.68306010928963,False
2016-09-18,114.75409836065575,False
2016-09-19,114.75409836065575,False
2016-09-20,78.03278688524591,False
2016-09-21,105.57377049180329,False
2016-09-22,78.03278688524591,False
2016-09-23,85.68306010928963,False
2016-09-24,85.68306010928963,False
2016-09-25,74.97267759562843,False
2016-09-26,88.74316939890711,False
2016-09-27,97.92349726775957,False
2016-09-28,85.68306010928963,False
2016-09-29,99.45355191256832,False
2016-09-30,104.04371584699454,False
2016-10-01,82.62295081967214,False
2016-10-02,76.50273224043717,False
2016-10-03,108.63387978142077,False
2016-10-04,78.03278688524591,False
2016-10-05,65.79234972677597,False
2016-10-06,96.39344262295083,False
2016-10-07,91.8032786885246,False
2016-10-08,71.91256830601094,False
2016-10-09,79.56284153005465,False
2016-10-10,102.5136612021858,False
2016-10-11,81.0928961748634,False
2016-10-12,78.03278688524591,False
2016-10-13,76.50273224043717,False
2016-10-14,84.15300546448088,False
2016-10-15,81.0928961748634,False
2016-10-16,62.732240437158474,False
2016-10-17,105.57377049180329,False
2016-10-18,84.15300546448088,False
2016-10-19,93.33333333333334,False
2016-10-20,99.45355191256832,False
2016-10-21,104.04371584699454,False
2016-10-22,79.56284153005465,False
2016-10-23,67.32240437158471,False
2016-10-24,119.34426229508198,False
2016-10-25,123.9344262295082,False
2016-10-26,113.224043715847,False
2016-10-27,74.97267759562843,False
2016-10-28,102.5136612021858,False
2016-10-29,78.03278688524591,False
2016-10-30,96.39344262295083,False
2016-10-31,64.26229508196722,False
2016-11-01,82.62295081967214,False
2016-11-02,71.91256830601094,False
2016-11-03,104.04371584699454,False
2016-11-04,100.98360655737706,False
2016-11-05,87.21311475409837,False
2016-11-06,91.8032786885246,False
2016-11-07,102.5136612021858,False
2016-11-08,73.44262295081968,False
2016-11-09,70.3825136612022,False
2016-11-10,93.33333333333334,False
2016-11-11,59.67213114754099,False
2016-11-12,82.62295081967214,False
2016-11-13,59.67213114754099,False
2016-11-14,99.45355191256832,False
2016-11-15,91.8032786885246,False
2016-11-16,84.15300546448088,False
2016-11-17,102.5136612021858,False
2016-11-18,81.0928961748634,False
2016-11-19,81.0928961748634,False
2016-11-20,81.0928961748634,False
2016-11-21,78.03278688524591,False
2016-11-22,93.33333333333334,False
2016-11-23,67.32240437158471,False
2016-11-24,100.98360655737706,False
2016-11-25,78.03278688524591,False
2016-11-26,87.21311475409837,False
2016-11-27,61.20218579234973,False
2016-11-28,85.68306010928963,False
2016-11-29,87.21311475409837,False
2016-11-30,104.04371584699454,False
2016-12-01,113.224043715847,False
